Ano,D.Y,P/L,PEG RATIO,P/VP,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,VPA,P/ATIVO,LPA,P/SR,P/CAP.GIRO,P/ATIVO CIRC. LIQ.,Dív. líquida/PL,Dív. líquida/EBITDA,Dív. líquida/EBIT,PL/Ativos,Passivos/Ativos,Liq. corrente,M. Bruta,M. EBITDA,M. EBIT,M. Líquida,ROE,ROA,ROIC,Giro ativos,CAGR Receitas 5 anos,CAGR Lucros 5 anos,Ticker,Tipo
2015,"5,07%","-4,57","0,00","0,93",-,"6,18",-,"1,10","4,30","0,12","-0,88","0,36","0,49","-0,18","2,94",-,"5,08","0,18","0,82",-,"23,07%",-%,"33,09%","-7,96%","-13,90%","-2,50%","4,99%","0,31","1,10%",-%,CSNA3,acoes
2014,"8,85%","-77,32","0,64","1,43",-,"10,58",-,"2,89","3,91","0,16","-0,07","0,50","0,85","-0,24","3,78",-,"7,69","0,12","0,88",-,"28,11%",-%,"17,47%","-0,65%","-1,83%","-0,21%","7,39%","0,32","7,99%",-%,CSNA3,acoes
2013,"6,34%","41,19","-0,19","2,59",-,"12,41",-,"6,72","5,55","0,42","0,35","1,21","1,93","-0,62","2,20",-,"5,69","0,16","0,84",-,"28,24%",-%,"18,02%","2,94%","6,31%","1,01%","8,50%","0,34",-%,-%,CSNA3,acoes
ATUAL,"37,29%","1,36","0,01","1,29",-,"1,20",-,"1,37","19,50","1,28","18,58",-,"11,59","-1,46","-0,12",-,"-0,13","0,99","0,01","17,83",-%,-%,-%,-%,"95,29%","94,65%","94,33%","0,00",-%,"63,27%",BRAP4,acoes
2021,"45,09%","1,22","0,00","1,31",-,"1,13",-,"1,23","19,09","1,30","20,55",-,"40,15","-1,35","-0,04",-,"-0,04","0,99","0,01","5,89",-%,-%,-%,-%,"107,68%","106,96%","106,86%","0,00",-%,"66,61%",BRAP4,acoes
2020,"3,14%","15,11",-,"1,97",-,"14,60",-,"15,18","32,34","1,96","4,22",-,"58,34","-2,04","-0,01",-,"-0,04","1,00","0,00","11,80",-%,-%,-%,-%,"13,03%","12,99%","12,98%","0,00",-%,-%,BRAP4,acoes
2019,"3,64%","-33,04",-,"1,39",-,"-31,25",-,"-32,06","27,47","1,32","-1,16",-,"55,48","-1,39","0,00",-,"-0,05","0,95","0,05","1,76",-%,-%,-%,-%,"-4,22%","-3,99%","-4,25%","0,00",-%,-%,BRAP4,acoes
2018,"6,09%","9,26","-0,19","1,11",-,"8,50",-,"8,94","28,62","1,04","3,42",-,"103,18","-1,10","-0,03",-,"-0,20","0,94","0,06","1,23",-%,-%,-%,-%,"11,95%","11,19%","12,06%","0,00",-%,-%,BRAP4,acoes
2017,"1,65%","4,31","0,02","1,14",-,"3,67",-,"3,85","25,19","0,89","6,66",-,"-14,64","-1,05","0,00",-,"0,02","0,78","0,22","0,72",-%,-%,-%,-%,"26,44%","20,56%","23,08%","0,00",-%,"36,80%",BRAP4,acoes
2016,"0,75%","8,25","-0,07","0,66",-,"5,97",-,"6,64","22,63","0,51","1,80",-,"5,04","-0,61","-0,03",-,"-0,31","0,77","0,23","2,32",-%,-%,-%,-%,"7,96%","6,12%","8,05%","0,00",-%,"-20,84%",BRAP4,acoes
2015,"20,71%","-0,67","0,00","0,22",-,"-1,07",-,"-0,70","22,65","0,18","-7,41",-,"5,08","-0,19","0,12",-,"-0,39","0,82","0,18","11,02",-%,-%,-%,-%,"-32,72%","-26,72%","-26,87%","0,00",-%,-%,BRAP4,acoes
2014,"12,00%","49,25","-0,16","0,56",-,"96,30",-,"86,79","25,57","0,47","0,29",-,"-18,80","-0,52","0,10",-,"14,81","0,84","0,16","0,78",-%,-%,-%,-%,"1,14%","0,96%","-0,72%","0,00",-%,"-36,23%",BRAP4,acoes
2013,"2,59%","-183,75","1,67","0,97",-,"457,69",-,"447,42","25,85","0,81","-0,14",-,"8,09","-0,90","0,09",-,"40,17","0,83","0,17","33,39",-%,-%,-%,-%,"-0,53%","-0,44%","0,18%","0,00",-%,-%,BRAP4,acoes
ATUAL,"17,01%","3,82","0,24","0,83",-,"4,81",-,"3,32","40,52","0,37","8,83","0,75","5,75","-0,48","0,38",-,"1,50","0,45","0,55","1,40","20,38%",-%,"22,66%","19,65%","21,79%","9,75%","12,62%","0,50","12,85%","40,08%",CPLE11,acoes
2021,"11,21%","3,54","0,13","0,79",-,"4,75",-,"3,22","40,52","0,35","9,05","0,73","5,46","-0,46","0,38",-,"1,53","0,44","0,55","1,40","20,28%",-%,"22,71%","20,65%","22,68%","10,00%","12,31%","0,48","12,85%","40,78%",CPLE11,acoes
2020,-%,-,-,-,-,-,-,-,"364,68",-,"71,33",-,-,-,"0,34","1,31","1,58","0,43","0,57","1,18","28,37%","27,61%","22,83%","20,95%","19,56%","8,35%","9,83%","0,40","4,51%","26,76%",CPLE11,acoes
2019,-%,-,-,-,-,-,-,-,"315,22",-,"36,36",-,-,-,"0,50","2,07","2,70","0,45","0,54","1,48","27,60%","25,72%","19,64%","12,25%","11,53%","5,19%","8,75%","0,42","3,14%","10,54%",CPLE11,acoes
2018,-%,-,-,-,-,-,-,-,"292,94",-,"25,71",-,-,-,"0,59",-,"3,96","0,45","0,55","1,00","22,99%",-%,"16,03%","9,42%","8,78%","3,92%","6,75%","0,42","10,22%","5,58%",CPLE11,acoes
2017,-%,-,-,-,-,-,-,-,"277,86",-,"18,89",-,-,-,"0,57",-,"4,08","0,46","0,53","0,93","23,95%",-%,"15,27%","7,37%","6,80%","3,12%","7,37%","0,42","10,55%","8,09%",CPLE11,acoes
2016,-%,-,-,-,-,-,-,-,"268,92",-,"16,37",-,-,-,"0,50",-,"3,80","0,50","0,50",-,"21,89%",-%,"15,18%","6,84%","5,91%","2,94%","6,12%","0,43","11,00%","-5,00%",CPLE11,acoes
2015,-%,-,-,-,-,-,-,-,"260,29",-,"21,79",-,-,-,"0,41",-,"2,76","0,49","0,50","1,45","21,05%",-%,"14,23%","7,98%","8,36%","4,12%","7,13%","0,52","16,71%","3,84%",CPLE11,acoes
2014,-%,-,-,-,-,-,-,-,"243,57",-,"22,03",-,-,-,"0,35","2,05","2,80","0,53","0,47",-,"18,89%","16,93%","12,41%","8,66%","8,81%","4,71%","6,11%","0,54","17,37%","8,78%",CPLE11,acoes
2013,-%,-,-,-,-,-,-,-,"231,15",-,"19,60",-,-,-,"0,19","1,31","1,96","0,56","0,44",-,"23,34%","19,93%","13,36%","11,68%","8,30%","4,64%","4,70%","0,40","10,95%","-0,11%",CPLE11,acoes
ATUAL,"9,89%","7,97","0,07","1,20",-,-,"4,10","6,66","1,83","0,07","0,27","1,33","2,72","-2,04","0,44","1,49","2,42","0,06","0,94","1,03","39,31%","32,49%","20,00%","16,71%","15,03%","0,91%","8,51%","0,05",-%,-%,GETT4,acoes
2021,-%,"7,53",-,"1,08",-,-,"3,88","6,46","1,78","0,06","0,26","1,26","2,63","-1,75","0,42","1,50","2,50","0,06","0,94","1,03","38,35%","32,35%","19,43%","16,69%","14,34%","0,81%","6,86%","0,05",-%,-%,GETT4,acoes
2020,-%,-,-,-,-,-,-,-,-,-,-,-,-,-,"-0,04","-0,12","-0,20","0,06","0,94","1,03","38,54%","35,00%","21,12%","15,56%","13,16%","0,84%","9,25%","0,05",-%,-%,GETT4,acoes
ATUAL,"14,33%","4,50","-0,38","1,08",-,"4,32",-,"4,65","30,22","0,83","7,22","1,01","1,79","-2,06","-0,15",-,"-0,66","0,77","0,23","4,62","24,87%",-%,"21,63%","22,34%","23,88%","18,50%","22,95%","0,83","17,77%","20,04%",CRPG5,acoes
2021,"8,35%","7,23","0,14","2,28","5,97","6,70","6,30","7,06","30,22","1,67","9,53","2,09","3,66","-4,47","-0,20","-0,54","-0,61","0,73","0,27","3,67","32,73%","33,14%","29,56%","28,87%","31,54%","23,08%","31,04%","0,80","17,77%","26,92%",CRPG5,acoes
2020,"0,40%","5,45",-,"1,38","3,86","4,53","6,45","7,57","25,08","0,95","6,36","1,37","1,49","-4,35","-0,54","-2,52","-2,96","0,68","0,32","5,27","36,04%","21,31%","18,15%","25,21%","25,34%","17,34%","10,61%","0,69","15,93%",-%,CRPG5,acoes
2019,"3,05%","5,29",-,"1,01","3,06","3,80","4,35","5,40","24,88","0,74","4,73","0,99","1,13","-3,32","-0,34","-1,47","-1,83","0,73","0,27","6,20","23,60%","22,65%","18,25%","18,65%","19,03%","13,92%","18,13%","0,75","8,35%",-%,CRPG5,acoes
2018,"13,57%","5,22","0,05","1,60",-,"4,83",-,"5,29","21,93","1,21","6,71","1,28","1,74","-5,52","-0,12",-,"-0,38","0,76","0,24","9,41","34,31%",-%,"24,14%","24,47%","30,58%","23,24%","29,83%","0,95","9,45%","68,34%",CRPG5,acoes
2017,"2,68%","4,61","-0,77","0,81",-,"2,70",-,"3,86","19,41","0,58","3,40","0,64","0,90","-2,54","-0,32",-,"-1,54","0,72","0,28","6,21","25,92%",-%,"16,63%","13,90%","17,53%","12,63%","16,54%","0,91","4,51%","9,53%",CRPG5,acoes
2016,-%,"1,66","0,00","0,33",-,-,-,"3,25","18,17","0,22","3,62","0,33","0,46","-0,64","-0,26",-,"-2,56","0,65","0,35","3,42","5,96%",-%,"10,13%","19,86%","19,92%","13,04%","8,22%","0,66","2,09%","20,69%",CRPG5,acoes
2015,-%,"-421,93","7,09","25,80",-,-,-,"-516,55","0,15","15,69","-0,01","25,26","37,51","-50,80","0,12",-,"-2,47","0,61","0,39","1,91","-6,24%",-%,"-4,89%","-5,99%","-6,12%","-3,72%","-5,97%","0,62","4,28%",-%,CRPG5,acoes
2014,-%,-,-,-,-,-,-,-,"0,16",-,"-0,02",-,-,-,"0,05",-,"-0,78","0,70","0,30","2,96","4,51%",-%,"-5,67%","-13,08%","-14,23%","-9,90%","-13,69%","0,76","5,99%",-%,CRPG5,acoes
2013,-%,-,-,-,-,-,-,-,"0,18",-,"0,01",-,-,-,"-0,06",-,"-2,16","0,75","0,25","3,79","8,47%",-%,"2,84%","2,84%","2,73%","2,06%","2,60%","0,72","9,40%",-%,CRPG5,acoes
ATUAL,"5,02%","14,66","0,52","5,77","10,74","12,17","8,69","9,84","13,77","1,52","5,42","2,27","24,66","-2,10","1,37","2,06","2,33","0,26","0,74","1,28","28,14%","26,08%","23,02%","15,45%","39,33%","10,36%","20,10%","0,67","16,93%","55,35%",ENMT3,acoes
2021,"6,77%","15,65","0,23","6,16","11,40","12,97","9,26","10,54","13,14","1,57","5,18","2,42","28,97","-2,19","1,44","2,17","2,47","0,25","0,75","1,24","27,78%","26,14%","22,97%","15,48%","39,39%","10,04%","19,48%","0,65","16,93%","53,95%",ENMT3,acoes
2020,-%,"9,66",-,"2,35","8,19","10,32","5,58","7,03","12,70","0,69","3,10","1,28","5,79","-1,13","0,94","2,24","2,82","0,29","0,71","1,45","22,44%","23,03%","18,28%","13,30%","24,38%","7,16%","10,86%","0,54","7,41%","71,84%",ENMT3,acoes
2019,"3,54%","11,46",-,"3,07","9,86","12,13","6,45","7,94","10,42","0,88","2,79","1,38","11,60","-1,21","1,57","3,30","4,06","0,29","0,71","1,38","22,14%","21,41%","17,39%","12,04%","26,78%","7,68%","12,53%","0,64","13,13%","41,49%",ENMT3,acoes
2018,"9,93%","10,15","0,00","2,48","7,92","10,25","4,71","6,09","8,20","0,66","2,01","0,99","8,90","-0,89","1,74","3,30","4,27","0,26","0,74","1,39","21,96%","21,05%","16,28%","9,76%","24,45%","6,47%","12,30%","0,66","13,59%",-%,ENMT3,acoes
2017,-%,-,-,-,-,-,-,-,"4,00",-,"0,01",-,-,-,"1,09",-,"6,11","0,30","0,70","1,02","13,05%",-%,"8,33%","0,12%","0,27%","0,08%","7,05%","0,65","10,43%",-%,ENMT3,acoes
2016,"0,01%","44,64","0,24","3,26",-,-,"11,01","14,99","3,99","1,10","0,29","1,75","47,88","-1,53","0,66","2,25","3,07","0,34","0,66","1,09","16,78%","15,86%","11,65%","3,91%","7,22%","2,44%","11,14%","0,62","10,76%","-2,26%",ENMT3,acoes
2015,"2,59%","26,92","-0,47","0,90",-,"8,72",-,"4,45","7,92","0,26","0,27","0,34","4,13","-0,37","0,86",-,"4,27","0,29","0,71","1,26","10,97%",-%,"7,68%","1,27%","3,33%","0,96%","8,79%","0,76","12,75%","19,45%",ENMT3,acoes
2014,-%,-,-,-,-,-,-,-,"11,08",-,"0,88",-,-,-,"0,49","1,65","2,63","0,30","0,70","1,75","17,80%","14,75%","9,28%","3,94%","7,95%","2,38%","4,02%","0,60","9,67%","-6,86%",ENMT3,acoes
2013,-%,-,-,-,-,-,-,-,"6,87",-,"-3,22",-,-,-,"1,41","-24,29","-7,73","0,22","0,78","0,43","18,51%","-2,05%","-6,45%","-16,55%","-46,85%","-10,41%","-8,01%","0,63",-%,-%,ENMT3,acoes
ATUAL,-%,"7,75","0,01","2,85","5,03","6,74","5,18","6,94","7,62","1,49","2,80","3,63","3,24","-3,16","-0,09","-0,17","-0,23","0,52","0,48","7,52","59,99%","69,99%","52,28%","46,82%","36,71%","19,19%","23,73%","0,41","61,68%","59,16%",PRIO3,acoes
2021,-%,"13,62","0,07","2,74","5,80","8,20","6,05","8,56","7,54","1,49","1,52","4,13","3,62","-2,97","-0,11","-0,25","-0,35","0,54","0,46","5,62","57,16%","68,31%","48,26%","30,32%","20,14%","10,91%","18,58%","0,36","61,68%","40,72%",PRIO3,acoes
2020,-%,"22,43",-,"3,22","6,64","12,58","5,68","10,77","21,77","1,50","3,13","5,33","-32,97","-2,05","0,54","0,95","1,81","0,46","0,54","0,86","32,42%","93,82%","49,51%","23,78%","14,37%","6,67%","16,03%","0,28","49,72%","32,61%",PRIO3,acoes
2019,-%,"7,30",-,"2,47","4,35","6,66","3,28","5,02","13,38","0,87","4,53","2,82","-19,68","-1,20","0,80","1,07","1,64","0,34","0,66","0,86","39,73%","86,09%","56,21%","38,67%","33,85%","11,60%","21,31%","0,30","27,56%",-%,PRIO3,acoes
2018,-%,"6,46","0,02","1,31","3,26","4,73","5,35","7,77","75,47","0,86","15,36","1,56","1,98","-2,66","-0,51","-2,10","-3,04","0,65","0,35","2,80","37,71%","29,12%","20,06%","24,13%","20,35%","13,33%","10,40%","0,55","186,54%",-%,PRIO3,acoes
2017,-%,"21,22","-0,27","1,22",-,"14,28",-,"25,56","66,95","0,85","3,86","2,02","1,71","-2,57","-0,54",-,"-11,28","0,70","0,30","3,92","18,52%",-%,"7,91%","9,52%","5,76%","4,00%","3,96%","0,42","139,71%",-%,PRIO3,acoes
2016,-%,"5,95","0,05","1,72",-,"3,46",-,"5,54","12,65","1,33","3,66","3,61","2,05","-4,78","-0,65",-,"-2,08","0,77","0,23","9,82","-2,66%",-%,"65,12%","60,73%","28,97%","22,32%","28,60%","0,37","109,17%",-%,PRIO3,acoes
2015,-%,"0,66","-0,01","0,08",-,"-4,66",-,"0,87","30,73","0,06","3,71","0,29","0,09","-0,26","-0,51",-,"-5,52","0,78","0,22","10,53","-16,35%",-%,"33,28%","43,63%","12,08%","9,38%","8,32%","0,22","74,61%",-%,PRIO3,acoes
2014,-%,-,-,-,-,-,-,-,"2,09",-,"-3,37",-,-,-,"-0,58","0,40","0,34","0,59","0,41","5,22","3,85%","-184,01%","-219,35%","-206,04%","-161,34%","-94,53%","-158,06%","0,46","85,79%",-%,PRIO3,acoes
2013,-%,-,-,-,-,-,-,-,"4,89",-,"-7,52",-,-,-,"-0,25","0,14","0,14","0,81","0,19","3,01","48,42%","-58.700,68%","-59.277,09%","-50.918,54%","-153,85%","-123,96%","-192,04%","0,00",-%,-%,PRIO3,acoes
ATUAL,-%,"0,14","0,00","0,00","5,76","5,87","0,02","0,02","-1.737,60","0,01","38,91","0,57","-0,03","-0,01",-,"5,74","5,85","-2,45","3,46","0,03","90,26%","2.798,63%","2.749,78%","404,29%","-2,24%","5,49%","-87,24%","0,01","89,07%",-%,OSXB3,acoes
2021,-%,"0,18","0,00","0,00","5,61","5,72","0,03","0,03","-1.692,26","0,01","38,93","0,81","-0,04","-0,01",-,"5,59","5,70","-2,39","3,39","0,02","90,15%","3.218,64%","3.158,36%","464,14%","-2,30%","5,49%","-90,90%","0,01","89,07%",-%,OSXB3,acoes
2020,-%,"-0,07",-,"-0,01","-8,05","-7,85","-0,11","-0,11","-1.730,83","0,04","-276,44","6,36","-0,12","-0,04",-,"-7,94","-7,74","-3,66","4,67","0,02","100,00%","-5.650,88%","-5.794,61%","-8.675,46%","-15,97%","-58,50%","63,72%","0,01","-44,40%",-%,OSXB3,acoes
2019,-%,"-0,02",-,"0,00","-21,99","-20,48","-0,05","-0,05","-1.453,35","0,01","-180,29","0,86","-0,02","-0,01",-,"-21,93","-20,43","-2,27","3,28","0,03","100,00%","-1.634,60%","-1.754,80%","-4.724,45%","-12,40%","-28,21%","76,53%","0,01","-56,03%",-%,OSXB3,acoes
2018,-%,"-0,03","0,00","0,00","-61,43","-60,17","-0,17","-0,16","-1.272,92","0,01","-135,57","1,20","-0,03","-0,01",-,"-61,26","-60,00","-2,30","3,31","0,03","100,00%","-723,59%","-738,75%","-4.710,51%","-10,65%","-24,52%","-2.576,29%","0,01","-58,60%",-%,OSXB3,acoes
2017,-%,"-0,04","0,00","-0,01","-20,39","-20,00","-0,13","-0,13","-1.125,43","0,01","-183,19","2,27","-0,05","-0,01",-,"-20,26","-19,88","-2,03","3,03","0,02","100,00%","-1.730,84%","-1.764,31%","-5.425,52%","-16,31%","-33,07%","-116,31%","0,01","-52,37%",-%,OSXB3,acoes
2016,-%,"-0,03","0,00","-0,02","-3,57","-3,55","-0,05","-0,05","-904,03","0,03","-467,92","43,20","-0,11","-0,03",-,"-3,52","-3,50","-1,79","2,80","0,07","-570,63%","-87.837,51%","-88.193,23%","-134.770,27%","-48,70%","-87,29%","-277,34%","0,00","-62,34%",-%,OSXB3,acoes
2015,-%,"-0,08","0,00","-0,02","-24,09","-23,84","-0,12","-0,12","-7,04","0,03","-1,97","0,25","-0,28","-0,03",-,"-23,97","-23,71","-0,27","1,28","13,45","-5,94%","-203,45%","-205,66%","-326,18%","-27,96%","-7,44%","-5,60%","0,02","84,47%",-%,OSXB3,acoes
2014,-%,"-0,02","0,00","-0,05","-1,54","-1,47","-0,02","-0,02","-5,18","0,01","-12,79","0,11","-0,07","-0,03",-,"-1,52","-1,45","-0,27","1,31","1,02","24,89%","-511,58%","-536,99%","-546,67%","-246,96%","-66,07%","-97,92%","0,12",-%,-%,OSXB3,acoes
2013,-%,"-0,08","0,00","0,08","-2,30","-2,20","-0,09","-0,08","7,22","0,02","-7,54","0,25","-0,11","-0,04","2,20","-2,22","-2,12","0,26","0,74","0,69","59,24%","-294,31%","-307,99%","-310,22%","-104,52%","-27,06%","-32,60%","0,09",-%,-%,OSXB3,acoes
ATUAL,-%,"-0,29","-0,01","-0,04","-0,34","-0,34","-0,35","-0,35","-54,68","0,03","-7,33","0,05","-0,04","-0,48",-,"0,00","0,00","-0,80","1,80","0,56","-6,00%","-14,87%","-15,02%","-18,13%","-13,41%","-10,72%","11,10%","0,59","25,45%",-%,RPMG3,acoes
2021,-%,"-0,52","0,04","-0,05","-0,67","-0,66","-0,67","-0,66","-52,51","0,05","-5,35","0,09","-0,06","-0,69",-,"0,00","0,00","-0,85","1,85","0,55","-2,78%","-12,89%","-13,07%","-16,36%","-10,18%","-8,62%","8,13%","0,53","25,45%",-%,RPMG3,acoes
2020,-%,"-0,46",-,"-0,06","-0,50","-0,49","-0,50","-0,49","-47,16","0,06","-6,10","0,13","-0,07","-0,81",-,"0,00","0,00","-0,99","1,99","0,52","-7,38%","-25,56%","-25,80%","-27,61%","-12,94%","-12,76%","12,08%","0,46","16,06%",-%,RPMG3,acoes
2019,-%,"-1,52",-,"-0,12","-1,82","-1,78","-1,82","-1,78","-41,06","0,14","-3,38","0,29","-0,15","-1,67",-,"0,00","0,00","-1,12","2,12","0,49","3,20%","-16,05%","-16,45%","-19,28%","-8,22%","-9,18%","7,01%","0,48","37,84%",-%,RPMG3,acoes
2018,-%,"-1,14","0,05","-0,08",-,"-1,08",-,"-1,02","-37,69","0,11","-2,62","0,20","-0,09","-1,13",-,-,"-0,06","-1,42","2,42","0,43","6,46%",-%,"-19,57%","-17,50%","-6,94%","-9,85%","7,80%","0,56","54,24%",-%,RPMG3,acoes
2017,-%,"-31,19","0,54","-3,10",-,"-25,65",-,"-25,51","-2,55","6,25","-0,25","10,60","-3,77","-39,42",-,-,"-0,14","-2,02","3,02","0,34","-3,58%",-%,"-41,53%","-33,97%","-9,94%","-20,05%","12,36%","0,59","-17,91%",-%,RPMG3,acoes
2016,-%,"-11,88","-0,69","-3,14",-,"-11,61",-,"-11,53","-2,30","10,48","-0,61","9,44","-4,47","-35,21",-,-,"-0,08","-3,34","4,34","0,23","-26,58%",-%,"-81,89%","-79,44%","-26,44%","-88,23%","27,86%","1,11","-21,29%",-%,RPMG3,acoes
2015,-%,"-0,35","0,00","-0,11",-,"-0,72",-,"-0,57","-1,69","0,45","-0,52","0,24","-0,22","-0,82",-,-,"-0,15","-4,26","5,27","0,17","-17,51%",-%,"-41,75%","-67,96%","-30,69%","-130,80%","19,41%","1,92","-11,84%",-%,RPMG3,acoes
2014,-%,"-1,30","0,02","-0,22",-,"-1,81",-,"-1,55","-1,19","0,76","-0,20","1,02","-0,81","-1,12",-,-,"-0,26","-3,48","4,48","0,25","-25,28%",-%,"-65,53%","-78,02%","-16,79%","-58,37%","14,65%","0,75","-7,83%",-%,RPMG3,acoes
2013,-%,"-0,54","-0,02","-0,27",-,"-0,71",-,"-0,62","-0,99","0,83","-0,50","2,17","-1,13","-1,11",-,-,"-0,10","-3,02","4,03","0,26","12,29%",-%,"-351,19%","-400,25%","-50,37%","-152,36%","46,12%","0,38","-20,89%",-%,RPMG3,acoes
ATUAL,"40,20%","2,50","0,02","0,86","1,91","2,41","1,22","1,55","33,29","0,38","11,50","0,74","5,41","-0,47","0,44","0,62","0,78","0,43","0,56","1,53","49,27%","60,29%","47,69%","29,53%","34,56%","15,03%","24,67%","0,51","9,88%",-%,PETR4,acoes
2021,"19,87%","3,48","0,00","0,96","2,39","3,10","1,36","1,76","29,69","0,38","8,18","0,82","11,13","-0,46","0,69","0,97","1,26","0,40","0,60","1,25","48,52%","60,50%","46,58%","23,56%","27,54%","10,96%","23,21%","0,47","9,88%",-%,PETR4,acoes
2020,"0,00%","52,01",-,"1,20","6,50","14,14","3,43","7,45","23,64","0,37","0,54","1,36","61,25","-0,44","1,06","3,04","6,62","0,31","0,68","1,04","45,56%","39,67%","18,24%","2,61%","2,30%","0,72%","6,17%","0,28","-3,29%",-%,PETR4,acoes
2019,"3,12%","9,81",-,"1,33","4,82","8,88","2,62","4,82","22,66","0,43","3,08","1,30","-97,30","-0,48","1,08","2,11","3,89","0,32","0,68","0,97","40,40%","49,74%","27,03%","13,28%","13,58%","4,33%","10,04%","0,33","-2,17%",-%,PETR4,acoes
2018,"3,97%","11,48","0,00","1,07","5,37","9,36","2,72","4,74","21,25","0,34","1,98","0,95","6,36","-0,41","0,97","2,47","4,30","0,32","0,67","1,48","38,25%","35,10%","20,13%","8,31%","9,30%","3,00%","7,70%","0,36","0,35%","1,81%",PETR4,acoes
2017,-%,"-470,89","4,85","0,80","6,19","13,15","2,62","5,56","20,24","0,25","-0,03","0,74","2,86","-0,31","1,06","3,50","7,43","0,32","0,68","1,89","32,29%","28,29%","13,31%","-0,16%","-0,17%","-0,05%","5,07%","0,34","0,16%",-%,PETR4,acoes
2016,-%,"-13,09","0,23","0,78","8,05","31,76","2,98","11,77","19,18","0,24","-1,14","0,69","3,00","-0,29","1,26","4,83","19,06","0,31","0,69","1,80","31,84%","23,01%","5,83%","-5,25%","-5,92%","-1,84%","2,21%","0,35","2,97%",-%,PETR4,acoes
2015,-%,"-2,51","-0,04","0,34","19,44","-37,42","3,44","-6,63","19,53","0,10","-2,67","0,27","1,51","-0,12","1,54","15,45","-29,73","0,28","0,71","1,52","30,65%","7,89%","-4,10%","-10,83%","-13,68%","-3,87%","-2,56%","0,36","8,71%",-%,PETR4,acoes
2014,"9,96%","-6,05","0,03","0,42","46,75","-18,69","14,92","-5,96","23,68","0,16","-1,65","0,39","2,50","-0,20","0,91","32,19","-12,87","0,39","0,61","1,63","23,85%","2,60%","-6,50%","-6,40%","-6,99%","-2,72%","-3,90%","0,43","13,03%",-%,PETR4,acoes
2013,"4,57%","9,45","0,84","0,64","6,94","12,70","3,55","6,48","26,67","0,30","1,81","0,73","5,46","-0,35","0,64","3,53","6,45","0,46","0,54","1,49","22,92%","20,61%","11,27%","7,73%","6,77%","3,13%","4,73%","0,40","7,22%","-6,50%",PETR4,acoes
ATUAL,-%,"-6,89","-0,44","3,30","-11,00","-9,18","-9,33","-7,79","2,32","1,39","-1,11","4,72","5,05","-2,30","0,59","-1,67","-1,39","0,42","0,58","3,22","23,11%","-50,62%","-60,64%","-68,55%","-47,90%","-20,11%","-21,10%","0,29",-%,-%,BIOM3,acoes
2021,-%,"-10,96","-0,82","7,88","-18,67","-15,37","-16,28","-13,40","1,65","2,38","-1,18","8,21","13,95","-3,86","1,16","-2,39","-1,97","0,30","0,70","1,80","25,15%","-50,45%","-61,30%","-74,95%","-71,93%","-21,70%","-22,36%","0,29",-%,-%,BIOM3,acoes
2020,-%,"-15,51",-,"5,73","-25,38","-20,58","-24,35","-19,75","2,83","2,52","-1,05","18,71","8,15","-4,69","0,24","-1,03","-0,83","0,44","0,56","3,03","23,75%","-76,84%","-94,72%","-120,62%","-36,96%","-16,27%","-14,65%","0,13",-%,-%,BIOM3,acoes
2019,-%,"-10,62",-,"3,86","-13,41","-12,23","-12,35","-11,26","3,21","1,52","-1,17","66,25","6,79","-2,46","0,33","-1,06","-0,97","0,39","0,61","2,44","5,83%","-536,61%","-588,22%","-624,02%","-36,35%","-14,36%","-17,03%","0,02",-%,-%,BIOM3,acoes
2018,-%,"-6,78","-0,58","2,72","-10,10","-9,62","-8,26","-7,87","3,00","0,94","-1,21","184,21","4,21","-1,47","0,61","-1,85","-1,76","0,35","0,65","2,66","15,64%","-2.230,78%","-2.341,89%","-2.717,88%","-40,12%","-13,92%","-14,49%","0,01",-%,-%,BIOM3,acoes
2017,-%,"-7,68","0,47","4,94","-11,65","-11,48","-8,39","-8,27","1,92","1,12","-1,24","2.843,30","13,91","-1,48","1,92","-3,26","-3,21","0,23","0,77","1,49","34,95%","-33.908,74%","-34.389,32%","-37.017,48%","-64,30%","-14,53%","-17,89%","0,00",-%,-%,BIOM3,acoes
2016,-%,"-4,36","0,01","3,02","-8,66","-8,50","-6,20","-6,09","2,14","0,84","-1,48",-,"6,26","-1,07","1,19",-,"-2,41","0,28","0,72","2,61",-%,-%,-%,-%,"-69,18%","-19,21%","-20,24%","0,00",-%,-%,BIOM3,acoes
2015,-%,"20,84","-0,13","1,50","-92,72","-46,98","-113,80","-57,66","3,73","0,75","0,27",-,"1,48","-1,74","-0,28",-,"10,68","0,50","0,50","9,41",-%,-%,-%,-%,"7,19%","3,61%","-5,21%","0,00",-%,-%,BIOM3,acoes
2014,-%,"-20,61","-0,78","2,45","-13,96","-13,61","-16,06","-15,65","3,47","1,46","-0,41",-,"2,51","-3,82","-0,32",-,"2,04","0,60","0,40","16,42",-%,-%,-%,-%,"-11,87%","-7,08%","-10,88%","0,00",-%,-%,BIOM3,acoes
2013,"0,09%","-17,22","0,60","1,59","-10,73","-20,54","-12,04","-23,05","6,28","1,25","-0,58",-,"2,05","-4,00","-0,17",-,"2,51","0,79","0,21","9,26",-%,-%,-%,-%,"-9,23%","-7,29%","-6,78%","0,00",-%,-%,BIOM3,acoes
